ClientName,IndustryID,BusinessDevelopmentPerson,OutsideReferrerSource,EngagemenStartdate,Year2015Revenues,Year2016Revenues,Year2015EBIT,Year2016EBIT,ComplexStructure,MessyAccountingAtBegin
WoodWright,Construction-Commercial,Terry Degarmo,None,9/1/2016,,,,,Yes,No
Wilson,Equipment Finance,Wayne Scott,None,9/15/2016,,,,,No,No
Whiz Q,Home & Garden Center,New Life CFO,None,8/15/2014,"$7,000,000.00 ","$8,500,000.00 ","$250,000.00 ","$500,000.00 ",No,Yes
Wheels America,Auto Repair,New Life CFO,Jason Williford,8/15/2016,"$17,000,000.00 ","$15,000,000.00 ","($350,000.00)","($200,000.00)",No,Yes
W&M Environmental,Professional Services/Consultant,New Life CFO,Jason Williford,2/1/2017,"$5,000,000.00 ","$6,000,000.00 ",,"$750,000.00 ",No,No
Van Foods,Manufacturing - Process,New Life CFO,None,12/15/2014,"$15,000,000.00 ","$16,000,000.00 ",$0.00 ,"$300,000.00 ",Yes,No
Traveling Coaches,Professional Services/Consultant,New Life CFO,None,4/15/2015,"$6,500,000.00 ","$8,250,000.00 ","$350,000.00 ","$700,000.00 ",No,No
Trailblazer,Professional Services/Consultant,New Life CFO,None,6/15/2015,"$2,500,000.00 ","$3,000,000.00 ","$500,000.00 ","$750,000.00 ",No,No
THM,Construction-Commercial,Burt Copeland,None,8/14/2017,"$3,500,000.00 ","$4,000,000.00 ",,,Yes,Yes
testing,Auto Repair,New Life CFO,None,11/5/2017,,,,,No,No
Technique Data Systems,IT Services & Programming,Burt Copeland,None,6/21/2017,,,,,No,No
Stacy Furniture,Amusement/Entertainment,New Life CFO,Ken Stiles,6/1/2016,"$32,000,000.00 ","$28,000,000.00 ","($250,000.00)","($500,000.00)",No,Yes
Speech Privacy,Distribution,New Life CFO,None,8/15/2014,"$5,000,000.00 ","$6,000,000.00 ","($300,000.00)","$250,000.00 ",No,Yes
Sology Solutions,IT Services & Programming,Lee Nester,None,9/18/2017,,,,,No,No
Shahan & Sons Ltd,Construction-Commercial,Wayne Scott,None,5/15/2016,,,,,Yes,Yes
S&H Distribution,Construction-Commercial,New Life CFO,None,8/29/2017,,,,,No,Yes
Rolland Safe & Lock,Distribution,New Life CFO,Dennis Howard,5/1/2017,"$25,000,000.00 ","$27,000,000.00 ","$500,000.00 ","$300,000.00 ",Yes,No
Ranger Solutions,IT Services & Programming,New Life CFO,None,4/3/2017,,,,,No,No
Pogo Energy LLC,Oil & Gas,New Life CFO,None,10/1/2017,,,,,No,No
Osburn,Construction-Commercial,New Life CFO,Ken Stiles,12/15/2015,"$250,000,000.00 ","$300,000,000.00 ","$10,000,000.00 ","$12,000,000.00 ",Yes,Yes
New Life Controller Services,Company Admin,New Life CFO,None,1/1/2017,,,,,No,No
New Life CFO Services,Company Admin,New Life CFO,None,1/1/2017,,,,,No,No
McCon,Building Repair & Maintenance,New Life CFO,None,2/15/2014,"$17,000,000.00 ","$20,000,000.00 ","$750,000.00 ","$1,000,000.00 ",No,Yes
Massoud Furniture,Manufacturing - Job Shop,New Life CFO,None,4/15/2016,"$15,000,000.00 ","$15,000,000.00 ","$250,000.00 ","$350,000.00 ",No,Yes
Mallard Group,Construction-Commercial,New Life CFO,None,2/15/2017,"$6,000,000.00 ","$3,000,000.00 ",,($1.00),No,No
Link Staffing,Amusement/Entertainment,New Life CFO,None,2/1/2017,$2.50 ,$2.50 ,"$250,000.00 ","$250,000.00 ",No,No
KLC Financial,Professional Services/Consultant,Wayne Scott,None,6/1/2017,,,,,No,No
JBB Capital,Equipment Finance,Wayne Scott,None,9/15/2016,,,,,No,No
J&S Electronics,Wholesale,New Life CFO,Mark Connelly,8/1/2016,"$3,500,000.00 ","$4,000,000.00 ","$50,000.00 ","$100,000.00 ",No,No
Innovative Way,IT Services & Programming,New Life CFO,None,3/1/2017,"$3,000,000.00 ","$5,000,000.00 ",,"$250,000.00 ",No,No
Icon Voice Networks,Telecom - Services,New Life CFO,None,4/15/2014,"$18,000,000.00 ","$16,000,000.00 ","$200,000.00 ","($250,000.00)",No,Yes
Home Tax Solutions,Amusement/Entertainment,Wayne Scott,None,2/15/2016,,,,,No,No
Healthcare Interiors,Manufacturing - Process,New Life CFO,None,4/15/2017,"$5,000,000.00 ","$6,000,000.00 ",,,No,Yes
Hanger Project,Retail Store,New Life CFO,None,4/1/2016,"$2,000,000.00 ","$2,000,000.00 ","$150,000.00 ","$150,000.00 ",No,Yes
Hal Matthews - Furniture,Distribution,New Life CFO,None,2/1/2017,$0.00 ,$0.00 ,$0.00 ,$0.00 ,No,No
Growth Destiny LLC,Professional Services/Consultant,Lee Nester,None,3/17/2017,,,,,No,No
Frontera,Amusement/Entertainment,New Life CFO,None,10/22/2017,"$12,000.00 ","$14,000.00 ",,,Yes,No
First Choice Transportation,Trucking & Logistics,New Life CFO,None,11/15/2015,"$15,000,000.00 ","$20,000,000.00 ","($400,000.00)","$500,000.00 ",No,Yes
"Fifer Renovations, LLC",Home Builder,Lee Nester,None,4/1/2017,,,,,No,No
EZ Bel Construction,Construction-Commercial,New Life CFO,Michael Hall,9/1/2016,"$32,000,000.00 ","$35,000,000.00 ","$1,000,000.00 ","$1,200,000.00 ",Yes,No
Exposed Flooring,Construction-Commercial,Burt Copeland,None,10/1/2017,,,,,No,No
EFG,Equipment Finance,Wayne Scott,None,5/15/2016,,,,,No,No
Core Space,IT Services & Programming,New Life CFO,None,9/1/2016,"$3,500,000.00 ","$4,250,000.00 ","$350,000.00 ","$425,000.00 ",No,No
Concentre',IT Services & Programming,New Life CFO,None,8/15/2015,,,,,No,No
CBI,Manufacturing - Process,New Life CFO,None,12/15/2015,"$10,000,000.00 ","$13,000,000.00 ","($400,000.00)","$250,000.00 ",Yes,No
Booth Brothers Capital,Home Builder,New Life CFO,Ken Stiles,1/15/2016,"$12,000,000.00 ","$15,000,000.00 ","$350,000.00 ","$500,000.00 ",Yes,Yes
BenefitsCorp,Professional Services/Consultant,New Life CFO,None,10/26/2017,,,,,No,No
Bag Corp,Manufacturing - Process,New Life CFO,None,5/15/2016,"$30,000,000.00 ","$32,000,000.00 ","$1,000,000.00 ","$1,250,000.00 ",Yes,No
Aim High,Amusement/Entertainment,New Life CFO,Jason Williford,5/1/2017,,,,,No,Yes
70kft,Professional Services/Consultant,New Life CFO,None,3/28/2017,,,,,No,No
